counting_station,long,lat,municipality 1,municipality 2
1,4.456121776,50.91618331,Machelen,Machelen
2,4.47169,51.27512,Brasschaat 2,Brasschaat
3,4.47222,51.27503,Brasschaat 1,Brasschaat
4,5.19011,51.16023,Balen 1,Balen
5,5.19003,51.16018,Balen 2,Balen
6,3.70298,51.10894,Evergem 2,Evergem
7,3.70317,51.1089,Evergem 1,Evergem
8,4.68823,51.06759,Heist op den Berg 1,Heist-op-den-Berg
9,4.69524,51.06904,Heist op den Berg 2,Heist-op-den-Berg
10,4.01571,50.93549,Aalst 2,Aalst
11,4.01647,50.93385,Aalst 3,Aalst
12,4.47803,50.81896,Tervuren,Kraainem
13,3.70146,51.03018,Gent,Gent
14,5.48927,50.97172,Genk,Genk
15,2.92743,51.21371,Oostende 2,Oostende
16,3.27777,50.83332,Kortrijk 1,Kortrijk
17,3.27773,50.83339,Kortrijk 2,Kortrijk
18,2.92765,51.21378,Oostende 1,Oostende
19,4.01471,50.93433,Aalst 1,Aalst
20,3.20048,51.17416,Brugge,Brugge
21,5.50161,50.86015,Bilzen,Bilzen
22,4.935984253,50.813308,Tienen 2,Tienen
23,4.93447,50.81324,Tienen 3,Tienen
24,4.935044253,50.81337955,Tienen 1,Tienen
25,5.597669324,51.136795,Bree,Bree
26,4.45444,50.86995,Zaventem,Zaventem
27,4.34013,50.92127,Grimbergen,Meise
28,5.30314,50.75488,Heers,Heers
29,5.52825,50.79286,Tongeren,Tongeren
30,5.17691,50.94374,Herk De Stad,Herk-de-Stad
31,5.1775,50.94366,Herk De Stad,Herk-de-Stad
32,5.20961,50.97971,Lummen,Lummen
33,5.20936,50.97978,Lummen,Lummen
34,5.3033,50.75486,Heers teller 1,Heers
35,5.6314,50.88112,Lanaken teller 1,Lanaken
36,5.63012,50.88131,Lanaken teller 2,Lanaken
37,5.29211,51.23299,Lommel teller 1,Lommel
38,5.29189,51.23277,Lommel teller 2,Lommel
39,5.47817,51.13425,Peer teller 1,Peer
40,5.47892,51.13438,Peer teller 2,Peer
41,5.69799,50.97025,Maasmechelen teller 1,Maasmechelen
42,5.6981,50.97043,Maasmechelen teller 2,Maasmechelen
43,5.79715,51.09344,Maaseik teller 1,Maaseik
44,5.79726,51.09359,Maaseik teller 2,Maaseik
45,5.44377,51.23127,Pelt teller 1,Pelt
46,5.44375,51.231,Pelt teller 2,Pelt
47,4.41497,50.91372,Vilvoorde,Vilvoorde
48,5.60389,51.00509,As,As
49,5.41001,50.95264,Bokrijk,Genk
50,3.16252,51.19291,"Brugge, Sint-Andries",Brugge
51,3.16252,51.19281,"Brugge, Sint-Andries",Brugge
52,3.24095,51.22632,Brugge,Brugge
53,3.228,51.23023,Brugge teller 1,Brugge
54,3.22818,51.23015,Brugge teller 2,Brugge
55,3.08261,51.07161,Torhout teller 1,Torhout
56,3.08244,51.07147,Torhout teller 2,Torhout
57,3.24491,50.96056,Meulebeke teller 1,Meulebeke
58,3.24471,50.96021,Meulebeke teller 2,Meulebeke
59,3.18479,50.96784,Ardooie teller 1,Ardooie
60,3.18411,50.96783,Ardooie teller 2,Ardooie
61,3.0921,50.80555,Wervik teller 2,Wervik
62,3.09154,50.8058,Wervik teller 1,Wervik
63,2.74289,51.13529,Nieuwpoort teller 3,Nieuwpoort
64,2.75737,51.13359,Nieuwpoort teller 1,Nieuwpoort
65,2.75511,51.13435,Nieuwpoort teller 2,Nieuwpoort
66,2.74369,51.1347,Nieuwpoort totem,Nieuwpoort
67,2.85624,50.85018,Ieper totem,Ieper
68,2.85608,50.85032,Ieper,Ieper
